IdSiniestro,Longitud,Latitud,IdComuna,TipoVia,NombreVia
20170128,-58.44034689,-34.61349731,6,Via Local,"ARANGUREN, JUAN F., DR."
20170129,-58.47155277,-34.64925746,9,Autopista,AUTOPISTA PERITO MORENO
20170130,-58.47883099,-34.59967065,15,Via Principal,CHORROARIN
20170132,-58.46552171,-34.69374130,8,Via Principal,COSQUIN
20170134,-58.44239720,-34.66777987,8,Via Principal,"ROCA, CNEL. AV."
20170135,-58.47032551,-34.59626814,15,Via Principal,WARNES AV.
20170136,-58.41827843,-34.65522746,4,Via Principal,BARCO CENTENERA DEL
20170137,-58.51280715,-34.59279388,11,Via Principal,MOSCONI GENERAL AV.
20170138,-58.46258582,-34.64385704,7,Via Principal,LAFUENTE AV.
20170139,-58.45064148,-34.68003614,8,Via Principal,"ROCA, CNEL. AV."
20170140,.,.,4,Autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI
20170141,-58.42717783,-34.62513374,6,Via Principal,LA PLATA AV.
20170143,-58.46442001,-34.60724519,11,Via Local,"TRELLES, MANUEL R."
20170144,-58.47064556,-34.69843756,8,Autopista,"ROCA, CNEL. AV."
20170145,-58.41677733,-34.61223119,5,Via Local,MAZA
20170147,-58.50251790,-34.67450313,9,Autopista,"PAZ, GRAL. AV."
20170148,-58.40708125,-34.62438894,3,Via Principal,SAN JUAN AV.
20170149,-58.36947198,-34.61477051,1,Via Principal,PASEO COLON AV.
20170150,-58.51140889,-34.63934531,9,Via Principal,RIVADAVIA AV.
20170151,-58.37460912,-34.65559133,4,Via Local,VIEYTES
20170152,-58.41146277,-34.65073916,4,Via Local,CACHI
20170153,-58.42855267,-34.61829385,6,Via Principal,ROSARIO
20170154,-58.39035581,-34.63412287,4,Via Principal,ENTRE RIOS AV.
20170155,-58.45593915,-34.62656868,7,Via Principal,RIVADAVIA AV.
20170157,-58.52866211,-34.64597065,9,Autopista,"PAZ, GRAL. AV."
20170158,-58.52037476,-34.59407024,11,Autopista,GUALEGUAYCHU
20170159,-58.38896772,-34.61799615,1,Via Principal,INDEPENDENCIA AV.
20170160,-58.47074114,-34.62771756,7,Via Principal,NAZCA AV.
20170161,-58.48200819,-34.65969965,9,Via Principal,"PERON, EVA AV."
20180001,-58.39536773,-34.62297346,3,Via Principal,SAN JUAN AV.
20180002,-58.37456088,-34.61895467,1,Via Local,PERU
20180003,-58.44860217,-34.60395657,15,Via Principal,"PUEYRREDON, HONORIO, DR. AV."
20180004,-58.46129513,-34.54332766,13,Via Principal,DEL LIBERTADOR AV.
20180005,-58.36907201,-34.61953517,1,Via Principal,PASEO COLON AV.
20180006,-58.44062219,-34.62499107,6,Via Local,VALLE
20180007,-58.52502765,-34.63601265,9,Autopista,AUTOPISTA PERITO MORENO
20180008,-58.36659655,-34.61687778,1,Via Principal,"HUERGO, ING. AV."
20180009,-58.36737389,-34.62763661,4,Via Principal,PILCOMAYO
20180010,-58.49807953,-34.63038658,10,Via Local,CERVANTES
20180011,-58.39092703,-34.59088447,2,Via Principal,CALLAO AV.
20180012,-58.46912006,-34.68049201,8,Via Local,OLIDEN
20180013,-58.48661286,-34.56786129,12,Via Principal,CONGRESO AV.
20180014,-58.44074927,-34.65080597,7,Via Principal,"MORENO, PERITO AV."
20180015,-58.38636298,-34.64684275,4,Via Principal,AUSTRALIA AV.
20180016,-58.37533517,-34.59276462,1,Via Principal,DEL LIBERTADOR AV.
20180017,-58.46963952,-34.63070603,7,Via Principal,SAN PEDRITO AV.
20180018,-58.37207554,-34.64543658,4,Via Local,ISABEL LA CATOLICA
20180019,-58.39189441,-34.59176378,2,Via Principal,LAS HERAS GENERAL AV.
20180020,-58.45012957,-34.66518343,8,Autopista,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA
20180021,-58.40184094,-34.64546845,4,Via Principal,"ALCORTA, AMANCIO AV."
