IdSiniestro,IdActorVictima,Sexo,TipoVictima,RangoEtario
20180051,1,Femenino,Fallecida,Adulto 50 a 59
20180052,1,Masculino,Fallecida,Adulto Mayor
20180053,3,Masculino,Fallecida,Adulto 40 a 49
20180054,1,Femenino,Fallecida,Adulto Mayor
20180055,3,Masculino,Fallecida,Adulto Joven
20180056,1,Femenino,Fallecida,Adulto Mayor
20180057,3,Masculino,Fallecida,Adulto 30 a 39
20180058,3,Masculino,Fallecida,Adulto Joven
20180059,3,Masculino,Fallecida,Adulto 50 a 59
20180060,1,Masculino,Fallecida,Adulto 50 a 59
20180061,3,Masculino,Fallecida,Adulto 50 a 59
20180062,1,Masculino,Fallecida,Adulto 30 a 39
20180063,1,Femenino,Fallecida,Adulto Joven
20180064,3,Masculino,Fallecida,Adulto 30 a 39
20180065,3,Masculino,Fallecida,Adulto 30 a 39
20180066,1,Masculino,Fallecida,Adulto Mayor
20180067,4,Femenino,Fallecida,Adulto Mayor
20180068,3,Masculino,Fallecida,Adulto Joven
20180069,2,Masculino,Fallecida,Adulto Joven
20180070,3,Masculino,Fallecida,Adulto 30 a 39
20180071,3,Masculino,Fallecida,
20180072,3,Masculino,Fallecida,Adulto Joven
20180073,1,Femenino,Fallecida,Adulto Mayor
20180074,3,Masculino,Fallecida,Adulto Joven
20180075,1,Masculino,Fallecida,Adulto Joven
20180076,3,Masculino,Fallecida,Adulto Mayor
20180077,3,Masculino,Fallecida,Adulto 50 a 59
20180078,1,Masculino,Fallecida,Adulto Joven
20180079,1,Masculino,Fallecida,
20180080,1,Masculino,Fallecida,Adulto Joven
20180081,1,Masculino,Fallecida,Adulto 30 a 39
20180082,3,Femenino,Fallecida,Adolescente
20180083,3,Masculino,Fallecida,
20180084,1,Masculino,Fallecida,Adulto 40 a 49
20180085,4,Femenino,Fallecida,Adulto Joven
20180085,3,Masculino,Fallecida,Adulto 30 a 39
20180086,1,Masculino,Fallecida,Adulto 40 a 49
20180087,1,Masculino,Fallecida,Adulto Mayor
20180088,3,Masculino,Fallecida,
20180089,1,Masculino,Fallecida,Adulto Mayor
20180090,3,Masculino,Fallecida,Adulto Joven
